ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
2,234,28690,8,,410,16,54,5,0
6,169,12532,8,,444,18,,4,0
7,205,9566,7,311,504,12,81,4,0
6,259,27268,8,384,514,12,82,3,0
6,134,23827,5,267,573,10,95,4,0
6,195,13117,8,,417,8,71,4,0
7,232,27159,8,350,465,14,65,5,0
10,199,21470,7,329,431,16,59,3,0
10,300,12652,7,399,487,9,68,5,0
9,206,28608,6,377,507,14,42,3,0
,198,17153,8,329,575,12,69,4,0
,199,29722,7,357,421,9,55,3,0
6,238,20417,8,,291,19,93,3,0
9,253,27965,7,374,588,16,59,2,0
7,203,11609,5,304,551,9,56,4,0
6,198,26688,8,329,548,16,41,5,0
7,221,23873,6,342,333,11,90,5,0
5,136,21485,8,281,441,15,88,5,0
7,120,24628,6,290,418,14,64,4,0
9,163,20868,8,320,427,10,62,3,0
4,167,24405,7,297,350,13,54,4,0
7,223,11519,9,,494,18,74,5,0
9,176,11837,7,308,474,22,52,5,0
,169,36153,8,329,591,18,103,4,0
3,189,34798,7,,468,13,50,5,0
8,204,22990,8,359,435,17,62,4,0
,214,22540,7,334,463,12,70,3,0
9,255,9624,8,348,344,8,78,6,0
6,190,27777,6,348,246,15,73,4,0
8,186,13238,4,308,464,17,49,4,0
9,223,12311,7,332,354,14,,5,0
8,226,12710,7,346,445,6,63,4,0
8,252,36478,8,427,339,17,60,4,0
3,212,20230,9,349,354,18,82,3,0
7,218,21872,7,,373,17,74,4,0
,190,28063,10,357,264,13,67,6,0
7,262,14101,9,359,290,17,82,5,0
10,240,15331,5,362,403,16,61,3,0
7,123,8855,7,242,490,13,,3,0
8,197,42551,7,,443,15,,6,0
7,137,27434,7,307,342,18,81,4,0
,147,16367,8,,469,19,50,5,0
,231,27419,7,369,275,10,72,4,0
8,267,26865,10,,506,16,57,3,0
9,231,28918,8,369,432,16,73,4,0
10,217,27653,9,370,383,7,60,3,0
,253,29369,10,434,465,13,84,5,0
7,208,24914,10,362,363,12,68,4,0
11,228,16600,6,,504,15,111,4,0
7,202,17087,6,327,482,17,46,4,0
7,152,10909,4,241,438,15,64,4,0
5,155,34972,7,320,501,18,63,3,0
7,156,17973,5,276,440,18,56,3,0
8,246,32170,10,400,474,12,24,4,0
6,198,35958,8,380,360,20,42,4,0
6,192,28149,7,319,448,19,61,5,0
6,161,14775,7,306,327,12,69,3,0
8,178,27834,9,334,397,16,81,3,0
10,202,13042,6,327,433,14,64,4,0
8,201,27141,7,344,526,16,66,4,0
9,270,15792,6,,673,20,55,4,0
,167,20945,5,,566,11,,4,0
7,187,46140,6,353,373,13,59,3,0
8,204,25145,8,338,469,16,86,4,0
5,221,21803,6,312,386,18,54,3,0
6,193,13443,6,326,534,15,60,4,0
,157,20067,8,,491,17,72,4,0
10,264,8472,8,359,353,15,53,5,0
10,153,23642,7,333,417,17,90,5,0
5,105,20060,7,,369,15,99,3,0
8,200,16312,10,359,421,11,100,3,0
6,155,24909,7,297,314,12,86,5,0
7,197,17657,5,290,254,10,74,5,0
5,181,13557,9,322,587,12,62,4,0
8,238,19129,6,,435,9,67,4,0
7,217,19991,7,340,356,10,61,2,0
,281,22452,7,344,395,15,67,4,0
,191,12224,5,309,399,12,62,3,0
8,213,34407,9,385,477,14,,4,0
8,234,21668,6,340,472,14,37,4,0
,248,19549,9,,439,17,65,4,0
9,242,22821,9,368,380,11,76,5,0
6,153,17359,8,328,481,14,63,4,0
6,141,9616,8,278,415,16,51,5,0
,202,11982,9,340,417,14,63,3,0
7,275,14601,8,385,416,17,69,4,0
,170,39906,7,,515,14,41,4,0
9,202,26474,7,352,310,18,69,5,0
,206,20407,7,355,482,12,71,4,0
8,127,10281,6,268,488,12,91,3,0
8,206,35216,6,347,399,16,80,4,0
,234,21136,7,,333,10,78,3,0
,238,26009,7,373,345,14,73,4,0
9,234,15514,5,,278,17,81,4,0
8,191,7695,5,293,507,16,85,5,0
4,140,28862,9,298,435,17,63,4,0
7,201,23783,8,341,579,13,63,4,0
,260,19518,9,369,251,13,49,4,0
7,174,24112,6,298,484,11,65,4,0
6,200,30990,9,349,341,9,80,5,0
8,278,27192,9,425,359,15,57,4,0
7,182,29137,8,346,475,12,52,5,0
5,232,37626,9,381,581,12,55,3,0
7,169,11067,7,306,290,19,62,5,0
6,142,13652,6,280,538,12,68,4,0
10,202,9473,6,320,260,16,,3,0
6,225,45223,6,363,436,11,81,4,0
9,284,27088,8,,512,17,72,4,0
6,147,16462,7,300,272,14,88,5,0
7,112,25840,8,312,327,19,86,4,0
8,177,18345,8,338,371,9,76,4,0
8,262,18371,6,,388,17,52,3,0
7,186,16268,5,317,419,16,65,4,0
9,130,16002,4,272,500,13,83,4,0
4,249,23591,8,352,427,20,39,3,0
7,216,20572,9,,337,18,72,3,0
10,214,15327,3,297,424,19,70,3,0
6,229,35371,8,,469,13,77,5,0
6,229,31344,8,,307,14,87,2,0
4,125,11216,5,261,445,19,86,4,0
6,230,16324,5,315,328,13,40,5,0
,230,16162,5,,449,9,,5,0
8,184,12976,7,316,493,13,87,4,0
6,190,12207,8,,395,13,59,3,0
11,162,6040,7,,317,12,26,4,0
9,163,13991,4,,399,15,84,4,0
8,154,7770,7,258,408,16,63,4,0
8,270,34441,7,390,426,14,57,4,0
10,224,14962,7,337,518,19,65,4,0
6,225,34864,9,386,325,13,97,5,0
6,208,22244,7,353,466,15,78,5,0
,221,21410,6,336,382,10,87,4,0
5,161,25300,6,301,498,15,61,4,0
8,187,11643,6,,364,11,50,3,0
4,208,18195,8,,288,13,36,3,0
,106,37928,6,,359,12,71,4,0
7,189,4304,4,259,401,13,64,3,0
6,213,24846,8,,543,18,85,5,0
8,277,17162,8,397,514,15,61,3,0
9,229,28488,5,352,475,15,53,4,0
,192,18258,7,314,462,14,53,4,0
7,141,25649,7,295,375,14,74,4,0
8,137,16724,8,283,595,19,63,2,0
10,239,10705,6,352,406,14,59,5,0
9,203,19523,7,330,366,16,56,5,0
5,273,26307,10,380,514,18,61,4,0
9,264,23220,6,384,589,14,86,5,0
7,113,8580,4,235,435,23,94,4,0
8,181,12106,5,296,470,16,62,4,0
,134,18273,6,,415,12,93,3,0
6,209,30760,8,,524,20,,3,0
4,179,25009,5,299,430,18,56,3,0
7,183,23114,7,323,470,16,66,5,0
7,203,17167,6,312,410,16,65,3,0
4,201,28103,6,330,291,17,75,3,0
5,205,17650,8,350,414,11,47,5,0
6,200,24160,9,,429,16,65,5,0
7,178,12626,7,,440,9,83,4,0
7,208,28545,7,339,523,17,65,4,0
5,252,22833,6,379,411,17,67,4,0
9,265,15157,4,333,503,11,99,4,0
8,187,20419,7,325,351,17,68,4,0
9,144,20725,8,,470,14,66,4,0
9,217,27949,6,355,348,16,32,3,0
6,207,8532,6,286,492,11,75,5,0
,217,17984,9,,409,10,18,4,0
5,103,19556,7,,370,9,94,3,0
9,222,8871,6,332,425,11,,4,0
7,273,37169,8,416,351,15,79,4,0
7,231,18537,9,343,385,14,79,5,0
9,146,13169,9,311,593,9,78,4,1
9,128,19860,8,300,451,15,74,4,1
,170,23404,9,,476,13,51,3,1
7,242,39143,10,187,376,11,74,4,1
7,203,20401,8,287,316,15,74,4,1
8,237,14246,6,373,417,10,86,2,1
8,207,28050,9,298,359,19,61,4,1
6,224,23250,5,,277,11,67,5,1
10,99,27357,9,323,512,14,59,3,1
6,215,15977,9,308,418,13,63,4,1
5,280,26849,6,374,298,16,71,3,1
5,218,16392,7,279,481,16,78,4,1
7,279,25508,7,367,497,17,79,4,1
13,47,19238,9,375,500,12,,4,1
7,234,19599,5,433,402,12,73,4,1
8,213,29879,7,361,360,15,84,3,1
5,211,14866,7,323,389,18,84,4,1
6,231,14442,5,,347,11,43,2,1
7,251,21729,9,280,539,13,56,5,1
9,155,15737,7,343,463,18,83,4,1
7,128,27784,10,247,440,17,60,5,1
7,175,22645,8,293,373,17,57,5,1
7,229,22475,13,192,480,10,67,5,1
7,176,35804,8,320,469,16,71,4,1
,157,16146,7,352,629,14,42,4,1
5,280,35345,13,180,392,11,55,4,1
7,169,29847,5,350,353,19,30,3,1
5,225,28897,6,,360,12,67,5,1
11,82,26000,8,318,393,13,52,5,1
6,258,13777,7,329,563,16,74,4,1
10,130,20683,9,292,427,12,79,3,1
8,167,13933,10,243,391,14,61,5,1
7,173,20112,7,,374,20,,5,1
10,136,48622,9,328,366,18,77,4,1
8,171,23626,10,260,328,16,108,5,1
4,244,7752,1,,341,13,60,4,1
6,216,15949,8,,373,18,77,4,1
10,143,46114,13,,575,17,37,5,1
7,199,34006,9,275,477,14,78,5,1
8,157,26244,8,255,496,14,66,4,1
5,269,17862,5,377,609,11,84,3,1
8,182,6553,5,391,516,17,58,4,1
8,211,20008,9,276,476,13,67,3,1
6,226,12884,5,,389,15,76,3,1
9,121,15618,6,373,391,15,63,5,1
6,237,8081,6,,416,13,106,3,1
7,178,25841,7,313,323,16,69,3,1
,191,21948,6,355,509,17,84,4,1
5,188,35903,4,,455,6,103,5,1
8,196,29484,10,299,322,10,73,4,1
,225,22512,7,377,291,12,73,4,1
10,133,11557,9,324,443,13,92,5,1
6,230,16954,9,294,554,14,54,4,1
,182,27776,8,298,418,9,73,4,1
9,136,27920,12,,416,12,69,4,1
6,226,15596,6,,466,18,87,4,1
7,202,11349,4,,469,10,90,5,1
6,203,19217,9,,420,11,65,5,1
7,188,15301,7,317,499,20,55,5,1
10,114,16266,8,364,557,13,75,4,1
,273,44506,8,234,486,15,52,4,1
7,236,36044,5,377,386,17,90,4,1
,162,29299,7,350,376,20,87,3,1
6,185,44069,4,413,332,15,60,6,1
7,174,33992,10,259,435,16,82,4,1
8,200,11568,10,,510,11,41,4,1
8,157,23318,9,325,295,17,73,4,1
11,77,39228,9,338,411,14,53,3,1
7,234,25590,10,,490,14,46,2,1
9,120,26618,6,343,380,11,55,5,1
,145,14507,6,354,291,9,68,6,1
5,308,16116,8,,440,18,60,4,1
8,188,32705,11,258,507,18,85,4,1
6,256,11246,7,329,370,16,51,2,1
8,213,38852,11,282,326,10,65,5,1
7,193,13552,4,,430,19,72,3,1
4,276,23737,9,,426,18,56,3,1
10,167,21153,8,346,335,14,51,5,1
7,213,29957,8,321,378,13,72,4,1
8,153,22989,6,343,401,14,64,4,1
7,220,24695,8,,384,7,8,4,1
,163,18570,8,296,464,17,61,4,1
5,240,18189,6,398,551,13,80,4,1
7,265,15978,11,262,413,5,76,5,1
,251,27356,6,377,560,14,78,3,1
10,94,25510,7,385,388,12,69,4,1
6,261,35279,7,,279,14,83,4,1
8,221,18621,7,,309,19,73,5,1
6,255,21083,8,348,470,13,60,4,1
8,162,19116,8,290,440,13,80,4,1
7,159,12838,5,374,559,12,70,4,1
,181,30281,10,257,488,11,69,4,1
6,283,15245,7,363,695,13,90,4,1
9,154,11734,7,,447,13,40,3,1
6,221,16656,5,,383,23,82,4,1
10,173,38787,5,445,492,13,48,4,1
4,278,19672,5,415,330,11,71,4,1
4,323,38969,9,,515,10,71,4,1
9,158,18204,9,310,499,12,52,4,1
8,174,21366,7,315,497,11,46,4,1
9,187,15797,8,334,426,12,113,5,1
9,189,32033,13,182,480,12,78,4,1
9,186,18088,8,389,409,12,63,4,1
8,199,9025,7,338,328,9,43,4,1
3,311,26931,7,,521,14,42,4,1
6,189,11965,8,365,503,14,97,4,1
8,213,25260,8,364,544,15,107,4,1
8,240,29331,11,217,442,16,,3,1
5,226,30914,6,372,357,8,77,4,1
7,218,12088,5,407,518,17,57,4,1
5,201,19410,3,385,350,13,,4,1
7,141,17942,6,376,403,12,29,3,1
7,191,21979,6,364,349,10,68,5,1
5,250,11466,4,398,607,18,63,3,1
5,243,13901,6,,430,17,61,3,1
5,235,28175,11,187,445,12,89,3,1
4,291,52319,8,,401,17,88,3,1
7,240,29535,7,342,265,14,93,4,1
7,154,24415,7,,460,15,94,3,1
7,212,33737,6,,395,14,40,4,1
6,227,28334,8,294,351,15,35,5,1
6,195,17350,4,405,407,12,48,4,1
6,181,36279,10,276,308,18,94,3,1
8,193,7715,6,,441,23,62,3,1
9,136,4857,5,,532,20,20,4,1
6,225,29983,7,330,605,18,65,5,1
10,164,18895,10,270,446,12,82,3,1
,132,21626,7,,391,15,27,5,1
6,249,45249,7,339,315,11,89,3,1
9,73,20438,8,316,459,13,51,3,1
7,224,29189,11,254,387,11,68,5,1
7,169,25151,5,376,296,15,74,4,1
6,213,26125,9,273,466,8,60,6,1
5,308,44063,8,281,327,15,,5,1
10,167,13623,7,385,370,12,69,3,1
6,186,20143,10,209,518,18,49,4,1
,194,42268,9,258,385,9,75,4,1
,143,16263,6,,504,20,,3,1
6,240,13979,9,315,474,17,84,4,1
5,211,27362,6,341,358,17,,4,1
9,181,31429,8,350,394,10,83,2,1
7,176,9460,6,,402,16,37,3,1
7,200,15903,5,347,347,16,61,2,1
7,218,17969,8,,359,11,57,4,1
9,195,24284,9,329,334,17,67,4,1
7,197,16911,7,320,520,13,67,4,1
,243,9655,6,360,589,15,63,6,1
5,232,25654,6,328,529,14,38,4,1
,282,21707,5,348,348,15,86,4,1
8,168,14337,5,,421,7,68,4,1
6,208,37357,9,256,380,6,68,4,1
9,190,14519,5,423,348,17,,4,1
6,272,15418,8,315,424,15,61,4,1
7,206,13840,8,321,370,15,67,6,1
8,158,19663,8,283,431,21,60,4,1
,286,46932,7,263,557,14,74,4,1
5,250,20834,5,379,411,18,79,3,1
8,215,10390,6,327,403,15,73,3,1
6,197,25740,2,436,352,17,33,4,1
7,180,28827,5,390,593,12,58,4,1
,186,27345,9,,314,13,57,4,0
,186,14972,7,346,418,19,68,5,0
7,221,36438,6,338,368,20,53,5,0
6,188,26832,6,318,498,10,54,3,0
6,177,17925,8,304,552,10,58,5,0
7,194,26736,10,309,557,17,61,4,0
6,207,31415,5,350,567,16,73,4,0
10,208,19667,8,340,483,11,86,4,0
5,176,15372,7,312,309,12,,4,0
5,166,22229,10,295,449,12,63,4,0
6,192,18340,9,336,517,23,52,3,0
7,215,21230,6,337,533,18,91,5,0
6,226,23920,7,304,485,13,67,3,0
8,181,19384,10,325,386,11,67,4,0
,213,37031,5,351,535,16,33,5,0
8,223,40880,7,311,370,14,74,3,0
7,173,19948,7,334,441,11,89,5,0
10,209,14674,6,367,442,20,67,4,0
8,178,18309,7,362,394,11,82,4,0
7,224,31102,4,344,530,14,70,3,0
8,208,15489,6,362,423,15,75,4,0
7,213,23433,6,328,325,14,61,4,0
7,200,25396,5,342,445,16,43,5,0
8,235,27554,6,362,519,14,56,3,0
6,175,29072,12,288,470,13,83,3,0
6,175,16314,8,,436,11,62,5,0
6,244,39960,7,297,438,16,55,4,0
9,225,12225,3,387,486,13,62,3,0
8,199,20434,6,338,549,17,,4,0
6,154,21911,10,319,352,14,65,5,0
,187,26005,8,321,534,20,54,5,0
7,210,28970,4,,423,7,84,3,0
5,207,27000,7,,350,12,50,5,0
8,211,26704,7,341,374,9,73,3,0
8,235,22057,8,,397,15,51,3,0
7,201,22889,8,319,326,17,59,4,0
10,191,6701,7,,499,15,67,5,0
9,206,20869,7,331,422,16,78,5,0
8,174,12678,7,334,590,15,40,4,0
7,233,26178,4,334,380,10,42,4,0
,139,2912,10,343,533,11,42,4,0
8,170,8896,8,329,431,12,76,3,0
7,193,20988,6,321,381,15,88,4,0
5,166,21145,8,323,306,14,64,4,0
9,249,22372,3,366,342,15,79,3,0
7,177,14859,8,327,445,20,87,3,0
6,181,16906,12,,481,11,75,4,0
7,202,14463,7,314,535,14,83,4,0
9,144,2553,9,348,517,14,42,2,0
9,169,7013,8,355,420,18,34,4,0
7,181,10860,8,341,358,12,83,4,0
7,204,34226,9,320,416,16,90,3,0
9,190,15250,7,342,362,21,,3,0
6,206,18409,4,348,390,13,60,3,0
7,239,26132,6,309,326,8,46,3,0
5,201,28001,7,332,365,12,66,4,0
8,186,21575,7,333,444,16,49,5,0
,200,15336,8,303,400,12,58,4,0
4,189,29542,8,301,456,16,47,5,0
10,217,10677,3,398,492,13,72,3,0
7,198,21079,6,331,448,13,60,5,0
4,189,31292,7,,371,12,50,5,0
8,173,13455,7,357,471,16,68,3,0
6,167,18397,8,,437,13,68,4,0
,181,23434,8,,330,12,39,5,0
8,186,25926,8,,399,23,35,4,0
8,190,20015,8,356,378,18,38,5,0
6,188,35643,9,322,256,15,,2,0
7,194,23207,7,,496,16,73,5,0
5,196,19186,5,329,459,13,85,4,0
8,210,14311,7,,403,13,74,5,0
6,202,25394,8,314,435,18,60,5,0
8,179,18477,8,335,518,11,63,4,0
8,190,20229,9,336,379,15,73,3,0
6,168,23894,9,318,494,19,60,4,0
5,193,17342,8,322,444,17,67,5,0
9,201,15050,9,357,441,18,75,5,0
8,221,30254,6,320,530,18,85,5,0
9,200,9782,6,,511,12,66,5,0
6,185,17528,5,339,409,15,32,3,0
7,204,21443,6,312,413,12,63,3,0
7,196,29616,7,329,531,12,68,2,0
,169,18408,5,343,351,19,87,7,0
9,224,21611,4,,480,13,66,5,0
,163,21319,8,289,458,7,60,5,0
6,158,15288,8,342,335,9,38,5,0
6,181,11826,4,356,543,9,60,4,0
8,172,10930,8,,401,13,52,3,0
6,178,25994,7,330,567,12,61,6,0
,196,17909,4,,417,15,58,4,0
6,192,26854,9,312,376,16,74,5,0
6,168,19156,7,331,507,15,80,4,0
5,175,29009,6,,463,19,67,4,0
5,185,22274,10,319,492,12,87,3,0
5,213,40149,8,319,356,17,64,4,0
10,207,16544,7,363,279,17,44,4,0
,218,42061,6,325,503,16,48,4,0
7,204,20574,7,,354,16,57,4,0
9,174,8778,8,358,597,17,105,5,0
7,263,31085,2,,585,12,46,4,0
5,206,42211,9,,411,12,47,5,0
7,202,21892,8,340,379,8,64,4,0
8,224,37377,7,,344,17,75,3,0
7,197,23609,8,,526,11,62,3,0
6,153,19836,9,323,596,14,49,5,0
6,234,41412,6,310,510,23,74,3,0
5,227,45511,7,308,420,22,59,4,0
,208,17265,3,387,631,8,68,4,0
5,169,29072,11,297,467,16,24,4,0
5,197,25969,9,,462,13,69,4,0
,204,21418,6,320,349,13,69,5,0
7,203,23503,5,336,471,14,64,6,0
6,195,16174,6,319,387,12,53,4,0
8,183,12857,7,362,587,16,78,4,0
6,213,41839,8,312,357,16,54,4,0
7,187,19024,7,,429,13,44,5,0
10,218,9652,4,369,528,19,54,3,0
8,183,18950,7,347,333,18,67,4,0
7,208,30879,7,336,353,11,64,5,0
9,226,18141,5,321,350,14,64,4,0
7,199,27867,7,318,574,13,82,5,0
6,198,39657,10,288,319,12,120,5,0
6,178,27296,9,312,386,14,61,5,0
5,163,19646,9,314,492,15,49,4,0
5,160,27219,12,290,303,17,71,4,0
7,163,15000,8,334,517,18,38,5,0
10,201,18908,8,,371,11,64,4,0
9,179,9694,7,369,324,14,86,3,0
8,188,10603,8,353,376,13,59,3,0
,205,12557,6,360,611,16,52,3,0
4,187,19989,7,,483,13,74,4,0
4,149,26640,9,317,366,13,54,3,0
10,211,13190,5,,481,12,50,4,0
4,186,30566,10,277,283,13,,3,0
8,197,11311,5,364,608,8,77,4,0
,179,4785,6,378,517,14,69,2,0
3,207,49075,6,302,352,16,87,4,0
8,182,17101,6,357,499,21,61,3,0
7,192,26190,7,317,565,19,51,5,0
,164,15909,11,,361,17,60,4,0
7,238,25223,7,317,378,6,62,4,0
,190,18327,8,354,446,13,63,5,0
7,205,15658,4,,407,15,65,4,0
9,187,7851,6,,385,17,78,3,0
,198,26486,6,,473,11,64,4,0
,219,29433,9,303,426,17,70,6,0
9,170,4343,6,387,472,16,63,3,0
10,199,9083,6,367,501,13,56,4,0
6,213,20417,6,,435,24,81,4,0
7,210,29253,6,340,445,17,85,5,0
7,221,29091,5,,515,20,63,5,0
7,172,14877,7,338,406,16,59,4,0
6,200,32882,7,352,350,14,43,3,0
6,165,14973,11,316,337,19,64,4,0
,210,27383,7,324,301,14,63,4,0
7,218,19437,5,352,494,14,57,4,0
6,175,25834,8,334,302,11,70,4,0
9,229,25208,7,,380,16,,3,0
7,223,18262,5,,456,14,99,2,0
6,190,15825,8,313,425,15,81,3,0
8,175,13404,8,,491,14,75,5,0
7,181,9728,6,,400,16,68,3,0
9,157,4729,9,357,299,9,62,5,0
8,186,15007,8,356,562,10,67,3,0
7,214,23719,4,344,507,15,,5,0
6,203,20920,6,339,333,13,75,4,0
6,180,27952,8,304,467,14,69,4,0
8,229,16062,4,356,371,14,82,5,0
6,200,27841,7,319,414,16,63,3,0
,221,11562,6,359,406,14,59,5,0
7,192,19090,4,345,458,13,,5,0
8,175,10465,8,351,472,15,61,3,0
9,221,24897,6,342,389,16,36,4,0
6,229,44652,7,324,424,12,40,4,0
8,218,31350,6,335,377,15,52,4,0
7,222,25320,5,339,319,19,73,4,0
6,174,23735,9,330,594,14,64,4,0
10,210,10897,6,358,449,14,47,6,0
9,204,14334,9,328,431,12,91,5,0
,181,17706,6,350,448,10,32,4,0
10,176,5233,10,,478,16,63,4,0
6,177,16533,10,305,467,7,65,4,0
6,201,16933,7,,404,9,84,3,0
6,214,21023,7,332,434,16,65,2,0
5,186,26533,6,328,543,17,47,5,0
8,192,11889,8,346,405,17,85,3,0
6,247,39489,3,,358,13,78,4,0
6,171,19605,8,,513,17,54,3,0
8,192,12820,8,343,419,13,87,3,0
,206,39743,5,324,510,12,55,4,0
,233,27071,6,298,357,17,51,4,0
,221,28135,8,308,421,18,87,4,0
10,230,16103,6,,300,14,62,4,0
9,220,30681,7,341,482,9,50,3,0
7,221,18629,7,,398,15,78,3,0
6,173,14626,8,349,653,10,57,5,0
8,180,17517,7,352,370,14,81,3,0
10,205,8508,5,387,393,12,54,3,0
8,152,8865,11,,447,12,,5,0
,171,17561,8,349,374,11,74,4,0
,205,33798,7,,426,14,69,4,0
7,190,29123,8,322,458,17,57,5,0
5,205,29493,8,324,477,17,83,5,0
6,231,44868,6,,397,14,77,3,0
,223,23879,5,,383,16,66,4,0
6,186,24770,7,318,535,14,69,5,0
,191,20661,10,299,471,9,60,5,0
6,197,29214,9,334,575,11,,6,0
9,182,8274,7,,373,10,65,4,0
9,202,24207,7,,437,16,63,5,0
,183,19999,7,338,295,10,66,4,0
,193,30631,7,342,430,17,50,3,0
4,203,42327,9,280,504,14,46,4,0
6,204,32334,5,346,389,11,91,5,0
6,185,28653,7,335,470,11,,4,0
8,189,22511,9,,393,13,73,5,0
6,204,39998,7,319,432,15,42,4,0
,217,17870,7,338,438,15,83,3,0
7,240,36702,5,339,453,16,68,3,0
,179,21051,9,297,418,19,92,4,0
8,214,23823,7,341,411,20,25,4,0
,192,10831,6,,492,17,43,4,0
,181,14580,5,,309,10,60,4,0
5,202,31157,7,304,452,11,88,4,0
8,202,21296,6,,429,15,81,5,0
7,195,19967,8,354,412,17,68,2,0
6,211,39353,6,,488,12,47,5,0
7,156,12772,10,342,419,10,78,4,0
5,220,38748,5,306,443,11,,4,0
8,220,13700,4,,461,15,80,4,0
,227,13584,4,374,335,9,83,2,0
,221,27320,5,330,464,14,,6,0
6,194,20082,7,,404,18,,4,0
7,185,16361,9,321,459,12,41,4,0
8,188,11121,7,346,344,15,89,3,0
,242,25718,4,370,475,15,48,4,0
,222,11955,7,,391,13,,3,0
11,214,16787,7,,411,17,68,4,0
5,207,44613,7,300,553,13,52,3,0
7,194,27408,10,308,303,16,78,2,0
7,205,13585,4,,328,16,52,4,0
7,195,15405,3,,436,11,,4,0
9,221,14149,5,367,378,13,88,4,0
6,203,19952,8,311,412,19,73,5,0
6,192,15130,5,350,538,12,52,5,0
7,213,23565,7,325,430,14,33,4,0
7,153,11553,8,329,278,11,82,4,0
8,209,23986,8,346,436,10,67,3,0
8,210,22994,6,343,418,8,64,3,0
6,154,20503,10,313,355,18,75,5,0
8,192,24228,7,336,369,18,71,4,1
,219,11725,8,296,453,15,51,4,1
7,210,12810,9,310,413,12,74,4,1
10,210,9064,7,364,325,10,93,4,1
,189,19037,6,,388,15,78,3,1
8,234,6671,7,,545,17,67,4,1
,156,52060,3,365,323,14,48,2,1
6,197,23461,6,304,400,19,62,4,1
10,222,12539,9,,442,14,,3,1
,187,29497,8,378,616,15,65,2,1
9,224,22960,9,275,466,10,60,4,1
,196,14564,9,,290,9,50,4,1
8,212,15494,9,,363,15,54,4,1
8,203,16925,6,337,528,18,60,4,1
5,165,31156,7,384,507,15,69,5,1
